SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
2542477,10,97570,395,25,0.0,2294.5825,2018-02-21 08:59:28.750,DG6ZUYN28PSDNMWNOESB
6020582,3,65139,225,17,0.0,176.32739999999998,2018-04-14 08:42:36.580,ZZUYETDAW86LYAR8BTQY
664232,22,64915,346,17,0.0,292.2538,2018-03-29 21:48:08.800,KIY3T5966PJU5FAQMNVR
1846945,18,26625,8,7,0.0,629.0011,2018-02-26 17:15:56.090,6Y4OVMCJL5IU1XRU9R2C
553508,6,33402,1,9,0.0,668.6892,2018-01-01 20:56:55.510,JWVERL4VBZK20WX9VLF1
2924151,8,72670,148,19,0.0,542.5507,2018-03-13 18:28:03.620,WHSXBVD47TV0VONXXYWW
3365752,22,41684,67,11,0.0,41.585499999999996,2018-03-13 04:02:28.900,UHVJ87LEVM82EOZYIRPA
6675052,12,2836,133,1,0.1,2.9327,2018-03-28 23:43:34.740,K9X7G8WGU3GB2E9IA3GW
2719741,2,45085,10,12,0.0,1141.1484,2018-04-09 16:44:03.890,D1WIGZSY80IDGZ6DY78M
6047722,15,42922,79,11,0.0,104.5495,2018-03-01 04:36:54.050,45A2U1J402T68MZCIQU6
3980405,17,94443,368,24,0.0,439.1472,2018-01-14 15:23:57.770,5UXONUGIDVYLU9KZH2LN
1756350,8,58367,2,15,0.0,1368.4935,2018-02-14 14:34:14.210,GTBKT73MUU03VOD3IWL8
3566980,22,46476,353,12,0.1,217.42919999999998,2018-04-16 16:54:29.700,LOVJYI4JDUZDB25DHWYA
6055499,5,19094,316,5,0.0,329.6975,2018-04-28 13:57:46.790,D39ZY6KA8FFLOOB588QH
1266673,22,81427,294,21,0.0,1694.9793,2018-03-27 18:59:09.980,YUS3J4JYTKEQRXUPPN6S
2899345,5,20155,319,6,0.0,465.717,2018-03-07 03:53:27.880,6JQPGTWHU877GX5KCVBN
584162,5,17961,313,5,0.0,199.5555,2018-02-07 04:57:32.750,NIUW826PGS9NYKJ0E01X
1393701,18,64698,232,17,0.0,577.1329999999999,2018-02-28 02:14:11.900,VEKKWRTZMR5UMK5YTUCX
2866722,16,45588,305,12,0.2,1093.1964,2018-04-15 12:12:16.560,VX50TO9FA5PI4OAZV9CW
1123614,23,57802,228,15,0.0,1167.1245000000001,2018-04-09 21:04:32.650,6S1W7SU5FCATSN4DA63S
