SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
1912040,19,49826,30,13,0.0,0.0,2018-02-18 06:26:53.030,USG5KC26OSI3T98ICTUC
5842439,2,39638,400,11,0.0,0.0,2018-04-11 19:51:49.640,FI30HJHX4ULFO68W9PGX
4301160,20,30114,226,8,0.0,0.0,2018-01-09 03:51:19.180,L0CJ5XR92XOJSR1TX62K
4421888,7,50083,378,13,0.0,0.0,2018-05-08 17:08:48.150,75NT5X1ENCTVU547SXS8
4654723,3,25234,207,7,0.0,0.0,2018-02-10 21:47:54.890,GB07NGKCX1P0SMWQTF1N
4580100,18,72130,94,19,0.1,0.0,2018-04-16 18:50:11.770,VF2C5EXYKA29O9YWZ16S
2914696,8,78116,227,20,0.0,0.0,2018-02-06 12:11:12.730,OGGX3YRSNSD1PLF199E1
2323563,12,91682,267,24,0.0,0.0,2018-04-06 10:54:27.910,G90RGLRSJYPVUNGRFHNQ
6323505,9,13274,133,4,0.0,0.0,2018-01-22 22:30:45.160,6M4L075K8TUSISG0QSIW
3904562,2,36413,363,10,0.0,0.0,2018-04-17 20:46:05.340,5HYT7F0W5G98MY7PEMZ3
3058033,15,45132,83,12,0.0,0.0,2018-03-18 00:24:18.920,JYEKISO90DDM2SML5ZKW
1561466,13,60741,331,16,0.0,0.0,2018-05-04 22:22:18.130,KNQ9SRPK2WDZUTHX7SX0
117018,17,21260,449,6,0.1,0.0,2018-03-11 05:29:08.350,C4D22KV8XF3HNBV6XJM4
4672620,6,44592,136,12,0.0,0.0,2018-03-28 09:11:02.150,291K05S6R4RNDMJA3RQL
5555168,21,44420,140,12,0.0,0.0,2018-04-22 02:36:27.620,DI3AYFSMJMVS7L1RLENV
5746398,9,20221,210,6,0.0,0.0,2018-01-02 14:28:04.680,NJH0VCVXMKHN9EXWTCVN
4725094,20,52282,32,14,0.0,0.0,2018-02-18 01:27:35.840,QJUHRVRV6A1KGSLTIKWZ
5279870,9,92737,120,24,0.0,0.0,2018-03-28 02:47:57.670,HWRYUB11H493B0X8WPO5
443330,1,23441,17,6,0.0,0.0,2018-03-24 04:37:37.740,S7NDS1W5P5GBMV2ES3Y1
2903267,4,53057,279,14,0.0,0.0,2018-02-13 22:34:20.820,L10LPDM6LJ9J2YBDSFLC
3559637,17,91958,336,24,0.1,0.0,2018-03-23 14:57:51.810,6AVRA7R59B8GPL3VN7PL
1896958,15,68185,359,18,0.2,0.0,2018-04-28 23:41:13.430,HIHSGCWAHZTZIQOE5GSD
2463531,8,1499,13,1,0.0,0.0,2018-02-04 08:11:41.250,CQ17KQVW085IUWVBUYN0
277642,12,76574,87,20,0.0,0.0,2018-02-27 06:19:59.950,HOILF4S6VH65EVP83G1Q
239301,3,58257,127,15,0.0,0.0,2018-04-24 16:30:36.360,S5F5DE715B217B7SDMF1
5248213,1,42012,8,11,0.0,0.0,2018-01-27 05:40:53.640,J6G240AGPKJIBSQGFFZ3
2452722,18,72701,304,19,0.0,0.0,2018-05-04 10:44:43.580,SOXPQA6DM4YENEZ1I44X
2632828,9,31164,341,8,0.0,0.0,2018-03-04 11:49:16.810,F51F2KPQMEZDLA67NJ9O
